               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.036558,            0.022829,            0.004648,             0.82761,             0.56968,             0.69655,             0.33123,            0.044156,            0.021074,           0.0067618,              0.0073,              0.0073,              0.0073
                  62,            0.038338,            0.024701,           0.0043008,             0.82753,             0.58954,             0.71197,             0.33791,            0.043911,            0.021438,           0.0076172,            0.007255,            0.007255,            0.007255
                  63,            0.035418,            0.023568,           0.0039576,             0.73243,             0.60667,             0.67031,             0.32982,            0.043728,             0.02294,           0.0069232,             0.00721,             0.00721,             0.00721
                  64,            0.037918,            0.021164,           0.0042635,             0.72057,             0.66853,             0.72562,             0.34882,            0.043545,            0.021928,           0.0074472,            0.007165,            0.007165,            0.007165
                  65,             0.03502,            0.023818,           0.0041144,             0.76186,             0.63585,             0.70348,             0.33577,            0.044162,            0.023391,           0.0072705,             0.00712,             0.00712,             0.00712
                  66,            0.036518,            0.023186,           0.0044325,             0.73529,             0.62952,             0.69163,             0.32195,            0.044576,            0.022276,           0.0066238,            0.007075,            0.007075,            0.007075
                  67,            0.037295,            0.024461,           0.0044746,             0.79766,             0.57294,             0.67858,             0.31646,            0.042312,            0.021109,           0.0067514,             0.00703,             0.00703,             0.00703
                  68,            0.036533,            0.023553,           0.0044361,             0.71414,             0.70881,              0.7338,             0.36071,            0.041295,            0.020125,           0.0062231,            0.006985,            0.006985,            0.006985
                  69,            0.035323,            0.022653,            0.004018,             0.77302,             0.66895,             0.72197,             0.34552,            0.041456,            0.020376,           0.0063876,             0.00694,             0.00694,             0.00694
                  70,            0.034792,            0.022926,           0.0036027,             0.72085,             0.66556,             0.70416,             0.34194,            0.041777,            0.020098,           0.0061227,            0.006895,            0.006895,            0.006895
                  71,            0.034908,            0.025266,           0.0040364,             0.69728,             0.67516,             0.70997,             0.33053,            0.042079,            0.020426,           0.0061362,             0.00685,             0.00685,             0.00685
                  72,            0.035493,            0.022576,           0.0039954,             0.68625,             0.67258,             0.71433,             0.34398,             0.04142,            0.020805,           0.0062137,            0.006805,            0.006805,            0.006805
                  73,            0.035342,            0.022613,           0.0040858,             0.86401,             0.55765,             0.71197,             0.32276,            0.042263,              0.0213,           0.0058936,             0.00676,             0.00676,             0.00676
                  74,            0.034579,            0.022379,           0.0035132,             0.79088,             0.60212,             0.71299,             0.33402,            0.043069,            0.020833,           0.0062839,            0.006715,            0.006715,            0.006715
                  75,            0.033888,            0.021794,           0.0042461,             0.67359,             0.68882,             0.71888,             0.32411,            0.045905,            0.020347,           0.0068005,             0.00667,             0.00667,             0.00667
                  76,            0.035309,            0.023842,           0.0039224,             0.81807,             0.62498,             0.73103,             0.33907,            0.042882,            0.021179,           0.0062097,            0.006625,            0.006625,            0.006625
                  77,            0.035776,            0.022017,           0.0037265,             0.75511,             0.63317,             0.68417,             0.31447,            0.045599,            0.022971,           0.0058957,             0.00658,             0.00658,             0.00658
                  78,            0.033652,            0.023862,           0.0033485,             0.78199,             0.58151,             0.67659,             0.33073,            0.044696,            0.024324,           0.0060223,            0.006535,            0.006535,            0.006535
                  79,            0.034731,            0.022756,           0.0038439,             0.74687,             0.58412,             0.67155,             0.31521,             0.04461,            0.024534,           0.0070911,             0.00649,             0.00649,             0.00649
                  80,            0.034611,            0.020659,           0.0033632,             0.84711,             0.59933,             0.68679,              0.3354,            0.042773,            0.022754,           0.0063889,            0.006445,            0.006445,            0.006445
                  81,            0.035226,             0.02278,           0.0037588,             0.77852,             0.57468,             0.66814,              0.3146,            0.044661,            0.023838,           0.0062421,              0.0064,              0.0064,              0.0064
                  82,            0.032959,            0.019639,           0.0034092,               0.699,             0.63679,             0.68736,             0.30081,            0.045082,            0.023947,           0.0062704,            0.006355,            0.006355,            0.006355
                  83,            0.033679,            0.023553,           0.0038176,             0.73352,             0.57792,             0.67545,             0.30351,            0.043948,            0.023717,           0.0071564,             0.00631,             0.00631,             0.00631
